created_in_catalog,id,rating,company_id,company_name,company_code,region,city,street,housenumber,answer_response_time
2024-09-27,355412057,5.0,1099055,ЭТМ,ETM154100,Калужская область,Обнинск,проспект Маркса,83,419.293408
2024-09-27,355361638,5.0,1099029,ЭТМ,ETM5100,Свердловская область,Екатеринбург,Бисертская,134,47428.51567
2024-09-27,354869641,5.0,1099101,ЭТМ,ETM71100,Омская область,Омск,проспект Мира,71/3,593.312314
2024-09-27,355412053,5.0,1235445,ЭТМ,11,Краснодарский край,Краснодар,Московская,69/9,11039.175352
2024-09-27,354860838,5.0,1099122,ЭТМ,ETM70100,Новосибирская область,Новосибирск,Пашинское шоссе,1 к1,892.002597
2024-09-27,354869643,5.0,1099101,ЭТМ,ETM71100,Омская область,Омск,проспект Мира,71/3,536.996184
2024-09-27,354869644,5.0,1099101,ЭТМ,ETM71100,Омская область,Омск,проспект Мира,71/3,368.987206
2024-09-27,355389323,5.0,2649738,ЭТМ,ETM15110.1,Нижегородская область,Нижний Новгород,улица Ларина,28,27794.139676
2024-09-27,355438221,5.0,1099055,ЭТМ,ETM154100,Калужская область,Обнинск,проспект Маркса,83,4068.601274
2024-09-27,354869645,5.0,1099101,ЭТМ,ETM71100,Омская область,Омск,проспект Мира,71/3,339.722077
2024-09-27,354869646,5.0,1099101,ЭТМ,ETM71100,Омская область,Омск,проспект Мира,71/3,149.426503
2024-09-27,355133409,5.0,1099084,ЭТМ,ETM21111,Татарстан,Казань,улица Бухарская,89,209442.948103
2024-09-27,355391232,5.0,1235466,ЭТМ,32,Ростовская область,Ростов-на-Дону,1-й Машиностроительный переулок,12,15772.519728
2024-09-27,354860147,5.0,1235466,ЭТМ,32,Ростовская область,Ростов-на-Дону,1-й Машиностроительный переулок,12,1517.406707
2024-09-27,354854897,5.0,1235466,ЭТМ,32,Ростовская область,Ростов-на-Дону,1-й Машиностроительный переулок,12,2645.205144
2024-09-27,355391237,5.0,1099063,ЭТМ,ETM5150,Свердловская область,Екатеринбург,Вильгельма де Геннина,49,21268.750285
2024-09-27,354860839,5.0,1099122,ЭТМ,ETM70100,Новосибирская область,Новосибирск,Пашинское шоссе,1 к1,974.989558
2024-09-27,354840043,5.0,1099101,ЭТМ,ETM71100,Омская область,Омск,проспект Мира,71/3,6229.847091
2024-09-27,355391239,5.0,1099145,ЭТМ,ETM4320,Санкт-Петербург,Санкт-Петербург,проспект Энгельса,158к4ст1,22771.103737
2024-09-27,355391235,5.0,1099124,ЭТМ,ETM70120,Новосибирская область,Новосибирск,Оловозаводская,20 к1,16496.957788
2024-09-27,354818165,4.0,1099122,ЭТМ,ETM70100,Новосибирская область,Новосибирск,Пашинское шоссе,1 к1,12359.508988
2024-09-27,355621411,5.0,,,,,,,,1491315.66279
2024-09-27,354818166,5.0,1099122,ЭТМ,ETM70100,Новосибирская область,Новосибирск,Пашинское шоссе,1 к1,12440.930425
2024-09-27,354797763,5.0,2160636,ЭТМ,,Хабаровский край,Хабаровск,Краснодарская улица,102Б,16647.921461
2024-09-26,354986122,5.0,1099089,ЭТМ,ETM4120,Санкт-Петербург,Санкт-Петербург,Мытнинская,9,5270.739316
2024-09-26,354986120,5.0,1099145,ЭТМ,ETM4320,Санкт-Петербург,Санкт-Петербург,проспект Энгельса,158к4ст1,295229.497287
2024-09-26,355370799,5.0,1099090,ЭТМ,ETM4130,Санкт-Петербург,Санкт-Петербург,Малый проспект В.О.,75,47939.226999
2024-09-26,354680839,5.0,1099101,ЭТМ,ETM71100,Омская область,Омск,проспект Мира,71/3,53289.310216
2024-09-26,354667162,5.0,1099037,ЭТМ,ETM19110,Пермский край,Пермь,Героев Хасана,100,
2024-09-26,355370793,5.0,1235446,ЭТМ,12,Краснодарский край,Краснодар,улица Бородинская,150,47912.127931
