CampaignID|Campaign_name
101428287|y_mk-feed_category-nizkovoltnoe-oborudovanie_kazan
101424740|y_mk-feed_category-nizkovoltnoe-oborudovanie_mskmo
100899219|y_search_category-svetotekhnicheskie-izdeliya_spblo
101446065|y_mk-feed_category-ust-izd-obshch-naznacheniya_rnd
114098438|y_smart-bannery-retargeting_category-videocamera_msk_spb_rnd_nsk
100903854|y_search_category-svetotekhnicheskie-izdeliya_sibir
112867971|y_dsa-tovarnaya_category-videocamera_rnd
111322061|y_mk-feed_category-avtomatizacija-kip_tver
100903824|y_search_category-svetotekhnicheskie-izdeliya_yug
101161624|y_network_category-svetotekhnicheskie-izdeliya_spblo
101161638|y_network_category-ust-izd-obshch-naznacheniya_centr
101161633|y_network_category-nizkovoltnoe-oborudovanie_centr
111314390|y_mk-feed_category-svetotekhnicheskie-izdeliya_tver
112868803|y_search_category-SOFT_rf
100903745|y_search_category-ust-izd-obshch-naznacheniya_centr
100903759|y_search_category-nizkovoltnoe-oborudovanie_sevzap
101348024|y_search_category-ust-izd-obshch-naznacheniya_rf
101161644|y_network_category-svetotekhnicheskie-izdeliya_centr
101161651|y_network_category-nizkovoltnoe-oborudovanie_sevzap
113199731|y_dsa-tovarnaya_category-kabeli-provoda_tver
100903846|y_search_category-ust-izd-obshch-naznacheniya_sibir
106588590|y_smartbanner-retargeting_category-vodosnabzhenie_dv_mako_cpa
100388719|y_shop_category-sistemy-videonabljudenija_rnd
100807112|y_shop_category-sistemy-videonabljudenija-top_vrn
100807415|y_shop_category-sistemy-videonabljudenija-top_kzn
111317236|y_mk-feed_category-kabeli-provoda_tver
100907421|y_search_category-nizkovoltnoe-oborudovanie_krim
100903775|y_search_category-nizkovoltnoe-oborudovanie_povolzhe
100907443|y_search_category-svetotekhnicheskie-izdeliya_krim
101161614|y_network_category-ust-izd-obshch-naznacheniya_spblo
101158645|y_network_category-svetotekhnicheskie-izdeliya_mskmo
111316139|y_mk-feed_category-ust-izd-obshch-naznacheniya_tver
100903752|y_search_category-svetotekhnicheskie-izdeliya_centr
112256813|y_shop_aght_category-sistemy-videonabljudenija_spb
100812616|y_dsa_category-sistemy-videonabljudenija_msk
100903818|y_search_category-ust-izd-obshch-naznacheniya_yug
101161671|y_network_category-svetotekhnicheskie-izdeliya_sevzap
100903796|y_search_category-svetotekhnicheskie-izdeliya_povolzhe
100889027|y_search_category-ust-izd-obshch-naznacheniya_mskmo
100903761|y_search_category-ust-izd-obshch-naznacheniya_sevzap
111312961|y_mk-feed_category-nizkovoltnoe-oborudovanie_tver
100907427|y_search_category-ust-izd-obshch-naznacheniya_krim
101158636|y_network_category-ust-izd-obshch-naznacheniya_mskmo
100899212|y_search_category-ust-izd-obshch-naznacheniya_spblo
105401369|y_search_category-epk-odezhda_dv_mako
100807909|y_shop_category-sistemy-videonabljudenija-top_sam
111988564|y_mk-feed_category-shitovoe-oborydovanie_tver
100559012|y_smartbanner-retargeting_category-nizkovoltnoe-oborudovanie_mskmo
100903787|y_search_category-ust-izd-obshch-naznacheniya_povolzhe
111636993|y_search_category-epk-svetotehnika_dv_mako_TG
102696980|y_search-network-shop_category-sistemy-videonabljudenija_msk
101329979|y_shop_category-sistemy-videonabljudenija_ekb
114265298|y_network_forum
111457841|y_mk-feed_category-specodezhda-i-siz_tver
111321046|y_mk-feed_category-istochniki-pitanija_tver
73608373|
113195826|
111550131|
111304115|
26630883|
112886024|
13375294|
111304152|
111551536|
73647226|
111956828|
109228471|
112750960|
81897697|
73968998|
108649846|
112712137|
73099855|
73649665|
94827015|
101298019|
112468050|
101347701|
111504330|
112245521|
112927281|
109787052|
101460890|
112271587|
112886027|
59284198|
111498070|
112339412|
103891607|
96809498|
112712136|
82480110|
112924064|
108656518|
84758975|
112753138|
73608124|
76415955|
111500063|
98874830|
08490689|
103820795|
76415953|
76181536|
14983815|
17621600|
101899485|
73969004|
111304243|
105914589|
112753493|
100822707|
109531863|
112750961|
114030258|
103789667|
109607822|
73651065|
111304354|
76181479|
110326144|
113469475|
85234580|
36530989|
113196178|
114188869|
105401369|
104095098|
61|
109531825|
73099836|
43385231|
210850964|
88399364|
93728481|
88966750|
17703754|
108745837|
111533426|
111549538|
75357942|
100821799|
112339414|
112414131|
74900538|
112042083|
112886026|
112480909|
101461707|
76416891|
111550742|
111960400|
111501613|
95886587|
95502041|
111303830|
95687052|
112437499|
109531852|
92823061|
109788234|
112826439|
112468047|
82444476|
112249699|
109228319|
103789242|
111503493|
49503314|
103824941|
102779259|
101462463|
103823956|
26394864|
99273741|
108745332|
88399374|
112712138|
103892156|
59881225|
112027565|
113574213|
109227959|
76416892|
107637354|
85945768|
109222453|
11157796|
103823403|
111548812|
110850970|
112886025|
103827613|
93620046|
109026718|
112482979|
101299289|
112826532|
110850965|
29334306|
106594081|
73633730|
112453467|
64519451|
111952413|
95373031|
101430662|
37588143|
201018018|
36980978|
101463955|
12813662|
98874821|
79549521|
112711913|
211304152|
112886028|
74899551|
112692628|
28408412|
74856661|
32158608|
92121236|
112750500|
69706001|
71962592|
101298461|
112712135|
113791283|
111486034|
83853530|
103789923|
5|
103892006|
91392101|
84786578|
109024380|
72104007|
112195532|
100822118|
109227733|
111944730|
112452129|
05507619|
101297925|
110322556|
101298397|
114184793|
111548092|
25465072|
90264244|
107181742|
103619897|
113057348|
110850964|
111556091|
103822097|
75357939|
111303026|
58659738|
76241422|
11772558|
101463127|
60440453|
92427746|
112412217|
103630763|
206304181|
112712139|
111555173|
112931536|
112749135|
104051371|
95886848|
109223670|
109228997|
99400195|
63615683|
100818012|
74007878|
78809594|
92508676|
114102818|
14808999|
103828125|
62301413|
87090086|
63221185|
98481196|
89499391|
74251309|
32245707|
10081318|
46623266|
08013945|
106941173|
111554811|
60747174|
5812423561|
44935545|
01581193|
56348932|
112827562|
101731360|
114070797|
06900739|
69432714|
42245855|
41413495|
105401359|
28369282|
111576894|
45554655|
51153061|
98875767|
102800065|
37684610|
111555506|
98875714|
93620213|
51892586|
67375883|
101461353|
109607832|
94536019|
64560488|
24260453|
108745713|
90377171|
104906149|
91358124|
42089234|
103891006|
104047907|
82205096|
72420412|
90636438|
97221546|
45264860|
10143555|
62376701|
72104021|
104047909|
15418989|
114189154|
56865006|
112827460|
82513798|
87736109|
62359320|
60700109|
51373160|
112712134|
13114173|
16689173|
84425004|
52200033|
82705687|
106594073|
111554465|
04404436|
112714098|
101463364|
100820622|
03257701|
111576032|
47588946|
91414822|
74820237|
96235750|
54331156|
86830780|
71012569|
67165243|
72171664|
101298088|
81059628|
101298227|
35252963|
42923849|
110850968|
20797270|
112827296|
65634615|
26446322|
45162363|
76279464|
104051179|
33687494|
78124950|
112389069|
99732475|
96968408|
90892702|
52226649|
114074043|
66051430|
32519703|
100821559|
47697073|
72700982|
60407651|
54999825|
72710978|
100816339|
55483555|
26450394|
53446467|
18785768|
63237138|
98392545|
90048420|
59414752|
69346788|
110849462|
106889340|
98875810|
107427621|
63791752|
71393942|
66583716|
74694193|
44582266|
97241291|
56630708|
58307170|
110608534|
96582942|
55579240|
64327578|
46498382|
104051368|
41359460|
103800692|
114223566|
105315188|
22622332|
75673091|
60812694|
14136562|
31508874|
48006222|
77409531|
25016153|
104047905|
95436796|
114187747|
58448836|
28829882|
32470918|
111554112|
85402608|
99380183|
44404932|
100379278|y_shop_instrumenty_ural
00503152|
110849608|
19109125|
03635682|
39812560|
71234154|
94527158|
54951679|
103349|
114190150|
46532334|
04039980|
77913336|
114102718|
59960677|
108745952|
85460742|
31129787|
79407832|
114073536|
80810410|
103890560|
49866690|
98875831|
74838626|
57460162|
54719829|
90676257|
20511556|
16851685|
07587990|
105401376|
18980519|
86754314|
85156946|
59389828|
13765743|
21787806|
21186569|
89903847|
29235710|
103892072|
26170187|
57593705|
108744928|
38272387|
104051367|
75301273|
43442273|
92637466|
54383627|
08034147|
82082322|
47823694|
37100746|
56812826|
87293009|
101274344|
46290627|
112692176|
28788812|
67333335|
40964240|
54246747|
12345779|
26044321|
109384803|
89446683|
44398696|
74592426|
82158656|
57905012|
17521310|
64924348|
02552327|
01558314|
11379333|
57013548|
34497985|
72941939|
89844347|
53512473|
22012507|
55203171|
30641422|
19446583|
109302293|
101275592|
42820861|
14559659|
56236470|
66440551|
199400195|
29928783|
28785754|
06016324|
18593796|
61653091|
20130811|
23819054|
53883436|
17686349|
33493825|
84479144|
12283546|
88050304|
12983111|
14926665|
15756157|
67146038|
63059285|
86183594|
23366528|
88736363|
14686891|
